time,pm2_5 (μg/m³),pm10 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),ozone (μg/m³),sulphur_dioxide (μg/m³),date,hour,year,time_of_the_day,AQI_PM2_5,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,AQI
2022-08-04 00:00:00,10.1,14.9,0.172,7.3,32.0,2.8,2022-08-04,0,2022,Night,16.833333333333332,14.9,9.125,3.5,8.6,32.0,32.0
2022-08-04 01:00:00,9.4,14.8,0.175,6.9,33.0,2.7,2022-08-04,1,2022,Night,15.666666666666668,14.8,8.625,3.375,8.75,33.0,33.0
2022-08-04 02:00:00,8.6,13.9,0.18,6.3,33.0,2.4,2022-08-04,2,2022,Night,14.333333333333334,13.9,7.875,3.0,9.0,33.0,33.0
2022-08-04 03:00:00,9.0,14.5,0.181,5.2,38.0,2.2,2022-08-04,3,2022,Night,15.0,14.5,6.5,2.75,9.049999999999999,38.0,38.0
2022-08-04 04:00:00,8.9,15.7,0.172,4.1,47.0,2.2,2022-08-04,4,2022,Night,14.833333333333334,15.7,5.125,2.75,8.6,47.0,47.0
2022-08-04 05:00:00,10.2,18.2,0.159,2.7,59.0,2.3,2022-08-04,5,2022,Morning,17.0,18.2,3.375,2.875,7.95,59.0,59.0
2022-08-04 06:00:00,11.1,19.4,0.145,1.4,71.0,2.3,2022-08-04,6,2022,Morning,18.5,19.4,1.75,2.875,7.249999999999999,71.0,71.0
2022-08-04 07:00:00,10.5,18.1,0.142,1.4,74.0,2.1,2022-08-04,7,2022,Morning,17.5,18.1,1.75,2.625,7.1,74.0,74.0
2022-08-04 08:00:00,12.3,20.0,0.143,1.8,73.0,1.9,2022-08-04,8,2022,Morning,20.500000000000004,20.0,2.25,2.375,7.1499999999999995,73.0,73.0
2022-08-04 09:00:00,13.5,21.2,0.148,2.5,72.0,1.7,2022-08-04,9,2022,Morning,22.5,21.2,3.125,2.125,7.3999999999999995,72.0,72.0
2022-08-04 10:00:00,14.1,21.5,0.154,3.2,74.0,2.0,2022-08-04,10,2022,Morning,23.5,21.5,4.0,2.5,7.7,74.0,74.0
2022-08-04 11:00:00,14.5,22.1,0.162,3.9,76.0,2.7,2022-08-04,11,2022,Morning,24.166666666666668,22.1,4.875,3.375,8.1,76.0,76.0
2022-08-04 12:00:00,15.5,23.9,0.168,4.3,74.0,2.3,2022-08-04,12,2022,Afternoon,25.833333333333336,23.9,5.375,2.875,8.4,74.0,74.0
2022-08-04 13:00:00,15.9,24.3,0.188,6.4,69.0,2.0,2022-08-04,13,2022,Afternoon,26.5,24.3,8.0,2.5,9.4,69.0,69.0
2022-08-04 14:00:00,18.4,27.4,0.217,9.2,62.0,1.6,2022-08-04,14,2022,Afternoon,30.666666666666664,27.4,11.5,2.0,10.85,62.0,62.0
